epoch,loss,acc
0,2.324030637741089,0.112
1,2.320733070373535,0.11
2,2.33406925201416,0.11
3,2.325129508972168,0.111
4,2.3087189197540283,0.113
5,2.311561107635498,0.113
6,2.3245882987976074,0.112
7,2.3054027557373047,0.114
8,2.3183934688568115,0.11
9,2.3297414779663086,0.11
10,2.294710874557495,0.117
11,2.280458450317383,0.116
12,2.287855863571167,0.113
13,2.302309274673462,0.102
14,2.30704402923584,0.099
15,2.320058584213257,0.093
16,2.2887372970581055,0.096
17,2.309147357940674,0.1
18,2.299267530441284,0.098
19,2.3078041076660156,0.096
20,2.3000094890594482,0.098
21,2.3083324432373047,0.103
22,2.310720920562744,0.102
23,2.3130369186401367,0.106
24,2.3062705993652344,0.107
25,2.313948392868042,0.112
26,2.273092746734619,0.122
27,2.2988712787628174,0.124
28,2.3074450492858887,0.123
29,2.315624952316284,0.131
30,2.307863473892212,0.132
31,2.3008720874786377,0.13
32,2.2926993370056152,0.118
33,2.3086538314819336,0.115
34,2.2951815128326416,0.106
35,2.297093391418457,0.105
36,2.2953262329101562,0.106
37,2.3107941150665283,0.103
38,2.288943290710449,0.101
39,2.2942159175872803,0.101
40,2.2824501991271973,0.098
41,2.293372392654419,0.099
42,2.29567289352417,0.099
43,2.2949461936950684,0.1
44,2.3007049560546875,0.1
45,2.3058619499206543,0.1
46,2.3025476932525635,0.1
47,2.3154377937316895,0.1
48,2.3032546043395996,0.1
49,2.3065154552459717,0.1
50,2.3071179389953613,0.1
51,2.2854723930358887,0.1
52,2.288806915283203,0.1
53,2.314646005630493,0.1
54,2.29729962348938,0.1
55,2.2827250957489014,0.1
56,2.281752347946167,0.1
57,2.289982795715332,0.1
58,2.311662197113037,0.1
59,2.3297598361968994,0.1
60,2.2792420387268066,0.1
61,2.3219547271728516,0.1
62,2.2944047451019287,0.1
63,2.3139166831970215,0.1
64,2.2734735012054443,0.1
65,2.30745530128479,0.1
66,2.3156468868255615,0.1
67,2.3043556213378906,0.1
68,2.307366132736206,0.1
69,2.296384334564209,0.1
70,2.298252820968628,0.1
71,2.2948806285858154,0.1
72,2.290924549102783,0.1
73,2.2883808612823486,0.1
74,2.2827115058898926,0.1
75,2.303786516189575,0.1
76,2.319916248321533,0.1
77,2.3010573387145996,0.1
78,2.306068181991577,0.1
79,2.290715456008911,0.1
80,2.2995080947875977,0.1
81,2.288900375366211,0.1
82,2.2928457260131836,0.1
83,2.2916829586029053,0.1
84,2.278193712234497,0.1
85,2.3074355125427246,0.1
86,2.302373170852661,0.1
87,2.3098936080932617,0.1
88,2.293208599090576,0.1
89,2.2753138542175293,0.1
90,2.302877426147461,0.1
91,2.3104262351989746,0.1
92,2.291468620300293,0.1
93,2.2972829341888428,0.1
94,2.2777018547058105,0.1
95,2.3106112480163574,0.1
96,2.2691147327423096,0.1
97,2.286426544189453,0.1
98,2.2813472747802734,0.1
99,2.2861037254333496,0.1
100,2.3396923542022705,0.099
101,2.2896533012390137,0.099
102,2.3246123790740967,0.099
103,2.3080689907073975,0.099
104,2.267449378967285,0.099
105,2.3035221099853516,0.1
106,2.3110175132751465,0.1
107,2.2869303226470947,0.099
108,2.294936418533325,0.1
109,2.277191162109375,0.1
110,2.3164191246032715,0.101
111,2.3124046325683594,0.099
112,2.3008224964141846,0.099
113,2.3245689868927,0.099
114,2.323223829269409,0.099
115,2.295471429824829,0.101
116,2.2856645584106445,0.1
117,2.322892189025879,0.102
118,2.305891513824463,0.104
119,2.310800790786743,0.107
120,2.3144893646240234,0.116
121,2.2886393070220947,0.116
122,2.3072118759155273,0.117
123,2.2806644439697266,0.124
124,2.298417091369629,0.123
125,2.3042244911193848,0.124
126,2.2677531242370605,0.124
127,2.3182263374328613,0.116
128,2.300469160079956,0.113
129,2.2766363620758057,0.11
130,2.2810707092285156,0.111
131,2.288344383239746,0.109
132,2.3003222942352295,0.111
133,2.278454303741455,0.109
134,2.2865707874298096,0.111
135,2.2997844219207764,0.118
136,2.3054351806640625,0.119
137,2.286259889602661,0.113
138,2.2910335063934326,0.113
139,2.3067946434020996,0.113
140,2.322991371154785,0.112
141,2.3092613220214844,0.115
142,2.2990732192993164,0.113
143,2.2754831314086914,0.118
144,2.296696662902832,0.132
145,2.2720723152160645,0.13
146,2.3014845848083496,0.131
147,2.299311637878418,0.121
148,2.3034629821777344,0.119
149,2.308119297027588,0.115
150,2.287846326828003,0.116
151,2.283025026321411,0.109
152,2.273205518722534,0.109
153,2.27372670173645,0.102
154,2.304255962371826,0.102
155,2.307967185974121,0.101
156,2.291750431060791,0.1
157,2.2985997200012207,0.1
158,2.2783799171447754,0.102
159,2.2887423038482666,0.109
160,2.2851223945617676,0.118
161,2.311627149581909,0.125
162,2.2714412212371826,0.139
163,2.2663235664367676,0.141
164,2.301907777786255,0.135
165,2.3189046382904053,0.138
166,2.2556943893432617,0.145
167,2.279362201690674,0.137
168,2.2991113662719727,0.134
169,2.2845308780670166,0.132
170,2.2968287467956543,0.131
171,2.266624689102173,0.127
172,2.3104069232940674,0.122
173,2.275165319442749,0.122
174,2.3069138526916504,0.12
175,2.289921760559082,0.117
176,2.319594144821167,0.114
177,2.2950711250305176,0.112
178,2.2624223232269287,0.11
179,2.2539117336273193,0.105
180,2.261845111846924,0.1
181,2.273681163787842,0.1
182,2.3437905311584473,0.1
183,2.2902910709381104,0.1
184,2.2799739837646484,0.1
185,2.2603108882904053,0.1
186,2.32958984375,0.1
187,2.3132338523864746,0.1
188,2.286761522293091,0.1
189,2.2694058418273926,0.1
190,2.3458945751190186,0.1
191,2.271052122116089,0.1
192,2.3076751232147217,0.1
193,2.296347141265869,0.1
194,2.2824184894561768,0.1
195,2.2742152214050293,0.1
196,2.317378282546997,0.1
197,2.301790714263916,0.1
198,2.3054919242858887,0.1
199,2.2534446716308594,0.1
200,2.2937405109405518,0.1
201,2.310246706008911,0.1
202,2.2852258682250977,0.1
203,2.295008659362793,0.1
204,2.3305916786193848,0.1
205,2.3185033798217773,0.1
206,2.259500026702881,0.1
207,2.308844566345215,0.1
208,2.3042173385620117,0.1
209,2.2781198024749756,0.1
210,2.325835704803467,0.1
211,2.3104441165924072,0.1
212,2.281952381134033,0.1
213,2.2880349159240723,0.1
214,2.320187568664551,0.1
215,2.2762680053710938,0.1
216,2.3127102851867676,0.1
217,2.275148868560791,0.1
218,2.2860941886901855,0.1
219,2.3080995082855225,0.1
220,2.3004956245422363,0.1
221,2.275088310241699,0.1
222,2.285656213760376,0.1
223,2.3060779571533203,0.1
224,2.2887208461761475,0.1
225,2.3137595653533936,0.1
226,2.287034749984741,0.1
227,2.276519298553467,0.1
228,2.296034097671509,0.1
229,2.2998762130737305,0.1
230,2.277228593826294,0.1
231,2.295682907104492,0.1
232,2.308835506439209,0.1
233,2.2861340045928955,0.1
234,2.309828758239746,0.104
235,2.2811450958251953,0.107
236,2.2964160442352295,0.109
237,2.2894649505615234,0.11
238,2.2927520275115967,0.116
239,2.2924959659576416,0.12
240,2.302734613418579,0.126
241,2.28749942779541,0.131
242,2.258129835128784,0.149
243,2.2850847244262695,0.161
244,2.2925479412078857,0.184
245,2.2779107093811035,0.201
246,2.2965424060821533,0.219
247,2.2899651527404785,0.229
248,2.2943875789642334,0.229
249,2.287670135498047,0.217
250,2.290674924850464,0.211
251,2.292572259902954,0.2
252,2.3009188175201416,0.18
253,2.2958147525787354,0.171
254,2.290882110595703,0.165
255,2.2919838428497314,0.158
256,2.303738832473755,0.151
257,2.2815539836883545,0.142
258,2.2831907272338867,0.135
259,2.288891077041626,0.134
260,2.2750818729400635,0.128
261,2.2856285572052,0.131
262,2.290219783782959,0.149
263,2.29490065574646,0.167
264,2.2970449924468994,0.19
265,2.284367799758911,0.212
266,2.2771120071411133,0.218
267,2.2715625762939453,0.225
268,2.287581443786621,0.221
269,2.281052827835083,0.218
270,2.2869250774383545,0.211
271,2.292170524597168,0.211
272,2.2808291912078857,0.201
273,2.291478395462036,0.202
274,2.287010908126831,0.213
275,2.268477439880371,0.222
276,2.2757701873779297,0.233
277,2.2823596000671387,0.231
278,2.289114475250244,0.236
279,2.2655222415924072,0.24
280,2.278904438018799,0.241
281,2.2869021892547607,0.24
282,2.290207624435425,0.24
283,2.2836508750915527,0.237
284,2.2895846366882324,0.237
285,2.2960920333862305,0.241
286,2.2796428203582764,0.243
287,2.297494888305664,0.243
288,2.302341938018799,0.245
289,2.2861406803131104,0.246
290,2.2680141925811768,0.249
291,2.2808079719543457,0.247
292,2.2683346271514893,0.246
293,2.3024682998657227,0.248
294,2.292198657989502,0.246
295,2.2693679332733154,0.251
296,2.266815662384033,0.25
297,2.293142318725586,0.255
298,2.2956161499023438,0.266
299,2.264021873474121,0.269
300,2.275562286376953,0.275
301,2.2819302082061768,0.284
302,2.2731845378875732,0.286
303,2.2681894302368164,0.282
304,2.2677841186523438,0.289
305,2.2895667552948,0.289
306,2.2802951335906982,0.275
307,2.273249864578247,0.258
308,2.2810592651367188,0.239
309,2.2984619140625,0.232
310,2.291677713394165,0.219
311,2.2748336791992188,0.216
312,2.273197889328003,0.213
313,2.2657546997070312,0.208
314,2.2638533115386963,0.205
315,2.2506275177001953,0.203
316,2.272254705429077,0.204
317,2.288750171661377,0.203
318,2.2893729209899902,0.203
319,2.2669694423675537,0.202
320,2.301015853881836,0.203
321,2.2755043506622314,0.204
322,2.297858238220215,0.202
323,2.278076410293579,0.201
324,2.2650134563446045,0.201
325,2.304497003555298,0.201
326,2.2705280780792236,0.201
327,2.268730401992798,0.201
328,2.307513475418091,0.2
329,2.301815986633301,0.2
330,2.2918171882629395,0.2
331,2.2703514099121094,0.201
332,2.2647008895874023,0.204
333,2.281554698944092,0.206
334,2.271630048751831,0.208
335,2.2542223930358887,0.213
336,2.2941579818725586,0.214
337,2.272054672241211,0.22
338,2.2639267444610596,0.224
339,2.268186569213867,0.226
340,2.269113302230835,0.232
341,2.2863752841949463,0.238
342,2.273327589035034,0.238
343,2.290642499923706,0.243
344,2.2646780014038086,0.247
345,2.2703909873962402,0.25
346,2.2937512397766113,0.251
347,2.257369041442871,0.252
348,2.2596335411071777,0.25
349,2.2688190937042236,0.253
350,2.2865219116210938,0.254
351,2.2742838859558105,0.257
352,2.2864456176757812,0.261
353,2.310199022293091,0.268
354,2.2762420177459717,0.272
355,2.2889654636383057,0.284
356,2.277085781097412,0.297
357,2.271129846572876,0.306
358,2.2763633728027344,0.317
359,2.2910470962524414,0.316
360,2.267329692840576,0.307
361,2.292917013168335,0.301
362,2.3269307613372803,0.293
363,2.2951767444610596,0.273
364,2.2801339626312256,0.263
365,2.2823519706726074,0.249
366,2.287592887878418,0.225
367,2.2747642993927,0.22
368,2.2701778411865234,0.21
369,2.2737009525299072,0.193
370,2.272035598754883,0.179
371,2.278153657913208,0.168
372,2.2580528259277344,0.164
373,2.2941598892211914,0.161
374,2.3014488220214844,0.161
375,2.2886412143707275,0.159
376,2.2909536361694336,0.159
377,2.2630457878112793,0.16
378,2.246753692626953,0.165
379,2.2371268272399902,0.174
380,2.2802140712738037,0.187
381,2.2620973587036133,0.199
382,2.253450393676758,0.2
383,2.3231863975524902,0.208
384,2.277531623840332,0.222
385,2.2750325202941895,0.237
386,2.256770133972168,0.239
387,2.2594711780548096,0.255
388,2.2541627883911133,0.262
389,2.311225175857544,0.276
390,2.2569286823272705,0.289
391,2.289433479309082,0.291
392,2.2703640460968018,0.289
393,2.2596309185028076,0.287
394,2.2928273677825928,0.288
395,2.2623541355133057,0.288
396,2.2634286880493164,0.283
397,2.2699761390686035,0.268
398,2.277345657348633,0.265
399,2.285832166671753,0.265
400,2.289109945297241,0.265
401,2.2890076637268066,0.266
402,2.270200490951538,0.266
403,2.274876832962036,0.266
404,2.259723663330078,0.26
405,2.26098370552063,0.263
406,2.279222249984741,0.263
407,2.2766356468200684,0.259
408,2.2780182361602783,0.257
409,2.2932403087615967,0.26
410,2.281473159790039,0.265
411,2.265015125274658,0.267
412,2.264150619506836,0.272
413,2.283353090286255,0.279
414,2.295419216156006,0.287
415,2.265172243118286,0.296
416,2.276789665222168,0.299
417,2.277036428451538,0.302
418,2.2455599308013916,0.306
419,2.276434898376465,0.311
420,2.238564968109131,0.316
421,2.2886252403259277,0.319
422,2.2568793296813965,0.315
423,2.264915943145752,0.31
424,2.2778987884521484,0.306
425,2.288970708847046,0.305
426,2.261629343032837,0.305
427,2.259702444076538,0.29
428,2.263580799102783,0.282
429,2.2723748683929443,0.283
430,2.2622601985931396,0.284
431,2.2672836780548096,0.283
432,2.269371509552002,0.291
433,2.2824037075042725,0.296
434,2.253098487854004,0.303
435,2.271613597869873,0.323
436,2.2809557914733887,0.342
437,2.2565367221832275,0.351
438,2.2759621143341064,0.352
439,2.269320011138916,0.356
440,2.2816758155822754,0.357
441,2.262300968170166,0.353
442,2.2688345909118652,0.341
443,2.2673025131225586,0.34
444,2.271322250366211,0.342
445,2.277209758758545,0.331
446,2.2532899379730225,0.316
447,2.2698233127593994,0.308
448,2.273009777069092,0.3
449,2.2809367179870605,0.294
450,2.2396411895751953,0.289
451,2.2485408782958984,0.287
452,2.280174732208252,0.287
453,2.2859339714050293,0.287
454,2.2875630855560303,0.29
455,2.260982036590576,0.29
456,2.278089761734009,0.292
457,2.2562522888183594,0.296
458,2.2706010341644287,0.305
459,2.2475972175598145,0.316
460,2.2474923133850098,0.321
461,2.248581647872925,0.333
462,2.2604613304138184,0.34
463,2.2555136680603027,0.347
464,2.2544357776641846,0.349
465,2.2480194568634033,0.353
466,2.2524144649505615,0.361
467,2.2404699325561523,0.368
468,2.2720906734466553,0.377
469,2.263607978820801,0.384
470,2.2541723251342773,0.391
471,2.2452282905578613,0.393
472,2.2642762660980225,0.387
473,2.2444796562194824,0.388
474,2.244117498397827,0.354
475,2.2629218101501465,0.321
476,2.219289541244507,0.279
477,2.2460286617279053,0.254
478,2.262810707092285,0.244
479,2.2453150749206543,0.227
480,2.250643730163574,0.216
481,2.2456846237182617,0.198
482,2.221179723739624,0.188
483,2.2517552375793457,0.182
484,2.2972612380981445,0.178
485,2.2397313117980957,0.178
486,2.2637248039245605,0.176
487,2.2340660095214844,0.175
488,2.2622690200805664,0.173
489,2.2659173011779785,0.167
490,2.2631173133850098,0.164
491,2.23702335357666,0.164
492,2.2932991981506348,0.164
493,2.254119634628296,0.164
494,2.253319263458252,0.163
495,2.2744178771972656,0.163
496,2.229881525039673,0.164
497,2.234485626220703,0.164
498,2.2436392307281494,0.164
499,2.2433478832244873,0.166
500,2.2769899368286133,0.167
501,2.270169258117676,0.168
502,2.2705185413360596,0.163
503,2.248121738433838,0.163
504,2.281965494155884,0.167
505,2.270167112350464,0.171
506,2.2484631538391113,0.174
507,2.281619071960449,0.176
508,2.2372894287109375,0.177
509,2.2664473056793213,0.177
510,2.2346978187561035,0.18
511,2.2537572383880615,0.187
512,2.2659010887145996,0.189
513,2.27669095993042,0.194
514,2.267573595046997,0.196
515,2.246452808380127,0.198
516,2.2661123275756836,0.199
517,2.2432494163513184,0.201
518,2.2611074447631836,0.202
519,2.2384917736053467,0.207
520,2.275874614715576,0.208
521,2.268629312515259,0.212
522,2.2963387966156006,0.215
523,2.2113609313964844,0.214
524,2.230991840362549,0.21
525,2.249307632446289,0.215
526,2.2607972621917725,0.215
527,2.22467041015625,0.217
528,2.2861530780792236,0.217
529,2.2362446784973145,0.221
530,2.256605386734009,0.221
531,2.238835334777832,0.22
532,2.255039691925049,0.218
533,2.2343015670776367,0.214
534,2.2425038814544678,0.214
535,2.23850154876709,0.212
536,2.2229576110839844,0.21
537,2.2438950538635254,0.209
538,2.251089096069336,0.208
539,2.2722411155700684,0.209
540,2.2706475257873535,0.204
541,2.26672101020813,0.205
542,2.258151054382324,0.203
543,2.2665975093841553,0.201
544,2.2705042362213135,0.202
545,2.2278432846069336,0.203
546,2.276261806488037,0.203
547,2.2964909076690674,0.203
548,2.259685754776001,0.203
549,2.26910400390625,0.203
550,2.2638566493988037,0.202
551,2.2265195846557617,0.203
552,2.235682249069214,0.201
553,2.2810556888580322,0.203
554,2.2641968727111816,0.205
555,2.2362399101257324,0.215
556,2.245591163635254,0.22
557,2.224205493927002,0.224
558,2.2481675148010254,0.229
559,2.219855308532715,0.231
560,2.2076761722564697,0.239
561,2.2450363636016846,0.246
562,2.268159866333008,0.251
563,2.2273778915405273,0.254
564,2.2406203746795654,0.261
565,2.261394500732422,0.269
566,2.244870662689209,0.265
567,2.229811191558838,0.265
568,2.25600528717041,0.262
569,2.245281457901001,0.265
570,2.2410569190979004,0.265
571,2.2176475524902344,0.267
572,2.2427423000335693,0.268
573,2.227609395980835,0.264
574,2.2368626594543457,0.267
575,2.2553725242614746,0.271
576,2.2436439990997314,0.27
577,2.28147029876709,0.27
578,2.247265100479126,0.268
579,2.2686431407928467,0.27
580,2.244107961654663,0.272
581,2.2451419830322266,0.273
582,2.264157295227051,0.275
583,2.212797164916992,0.272
584,2.2546274662017822,0.274
585,2.2575154304504395,0.279
586,2.2617952823638916,0.285
587,2.2325003147125244,0.289
588,2.2384538650512695,0.292
589,2.216468095779419,0.293
590,2.251677989959717,0.296
591,2.2185940742492676,0.294
592,2.2219622135162354,0.286
593,2.241457462310791,0.282
594,2.2493443489074707,0.293
595,2.2489001750946045,0.304
596,2.2324178218841553,0.313
597,2.22271466255188,0.31
598,2.246403217315674,0.311
599,2.2388155460357666,0.316
600,2.240501880645752,0.317
601,2.227252960205078,0.321
602,2.2358131408691406,0.325
603,2.2350449562072754,0.327
604,2.228243350982666,0.327
605,2.2392678260803223,0.33
606,2.1984915733337402,0.333
607,2.2750000953674316,0.324
608,2.248924493789673,0.327
609,2.2233035564422607,0.323
610,2.2656149864196777,0.322
611,2.2710869312286377,0.32
612,2.244471549987793,0.322
613,2.232567548751831,0.328
614,2.2456116676330566,0.33
615,2.2635743618011475,0.335
616,2.2696986198425293,0.338
617,2.2267744541168213,0.348
618,2.2564239501953125,0.354
619,2.2445170879364014,0.361
620,2.2413415908813477,0.365
621,2.249967575073242,0.366
622,2.2163238525390625,0.367
623,2.2724530696868896,0.372
624,2.2172815799713135,0.371
625,2.256220579147339,0.38
626,2.215994119644165,0.384
627,2.222944736480713,0.394
628,2.2445030212402344,0.409
629,2.2345504760742188,0.421
630,2.2228152751922607,0.431
631,2.243565320968628,0.44
632,2.254312038421631,0.452
633,2.2241859436035156,0.457
634,2.2391245365142822,0.472
635,2.236172914505005,0.491
636,2.2244930267333984,0.489
637,2.2576773166656494,0.493
638,2.240875482559204,0.486
639,2.219928741455078,0.475
640,2.222132682800293,0.465
641,2.2369792461395264,0.445
642,2.22568678855896,0.429
643,2.229369640350342,0.411
644,2.232269763946533,0.396
645,2.2462666034698486,0.394
646,2.1884281635284424,0.39
647,2.2257080078125,0.388
648,2.2275595664978027,0.381
649,2.245772361755371,0.377
650,2.2613296508789062,0.376
651,2.2149195671081543,0.375
652,2.1878504753112793,0.368
653,2.235093116760254,0.364
654,2.2368831634521484,0.369
655,2.250417947769165,0.361
656,2.235827922821045,0.359
657,2.2304847240448,0.355
658,2.2178211212158203,0.36
659,2.204362392425537,0.362
660,2.1934874057769775,0.359
661,2.2510907649993896,0.366
662,2.2264246940612793,0.374
663,2.2178027629852295,0.377
664,2.2278571128845215,0.377
665,2.243865966796875,0.393
666,2.217048406600952,0.4
667,2.2406058311462402,0.409
668,2.2432217597961426,0.414
669,2.2188243865966797,0.423
670,2.237929344177246,0.431
671,2.2459375858306885,0.442
672,2.2045795917510986,0.443
673,2.2141945362091064,0.446
674,2.2217156887054443,0.446
675,2.2327356338500977,0.441
676,2.199385166168213,0.436
677,2.204702377319336,0.436
678,2.214829921722412,0.432
679,2.2021701335906982,0.415
680,2.252772092819214,0.414
681,2.2120747566223145,0.414
682,2.209289789199829,0.418
683,2.2293641567230225,0.415
684,2.229602813720703,0.424
685,2.2027552127838135,0.438
686,2.200549602508545,0.452
687,2.2012596130371094,0.458
688,2.227529287338257,0.462
689,2.230602741241455,0.473
690,2.227252960205078,0.493
691,2.2022805213928223,0.498
692,2.2427966594696045,0.505
693,2.2173538208007812,0.51
694,2.2110595703125,0.523
695,2.2294697761535645,0.547
696,2.1971163749694824,0.558
697,2.2150216102600098,0.564
698,2.211732864379883,0.569
699,2.205512046813965,0.565
700,2.2205798625946045,0.551
701,2.2366724014282227,0.556
702,2.198122978210449,0.555
703,2.2642159461975098,0.547
704,2.239741802215576,0.546
705,2.257552146911621,0.541
706,2.201965570449829,0.531
707,2.2354421615600586,0.526
708,2.1885244846343994,0.514
709,2.2217135429382324,0.512
710,2.2397525310516357,0.508
711,2.226625442504883,0.502
712,2.209096908569336,0.484
713,2.2187955379486084,0.471
714,2.2029025554656982,0.443
715,2.2055766582489014,0.431
716,2.191955804824829,0.415
717,2.2004990577697754,0.402
718,2.2214784622192383,0.391
719,2.1974387168884277,0.383
720,2.2164783477783203,0.369
721,2.215057134628296,0.359
722,2.1906051635742188,0.361
723,2.1958115100860596,0.353
724,2.194302797317505,0.349
725,2.247321128845215,0.35
726,2.2179348468780518,0.354
727,2.22957444190979,0.356
728,2.200861930847168,0.357
729,2.1976022720336914,0.357
730,2.1898670196533203,0.357
731,2.2081897258758545,0.357
732,2.222736358642578,0.357
733,2.2387571334838867,0.366
734,2.2122867107391357,0.374
735,2.1607699394226074,0.381
736,2.210705280303955,0.381
737,2.2137255668640137,0.377
738,2.2026169300079346,0.38
739,2.192185401916504,0.384
740,2.218517780303955,0.382
741,2.202849864959717,0.388
742,2.2031819820404053,0.39
743,2.1850709915161133,0.396
744,2.1915459632873535,0.401
745,2.1953349113464355,0.401
746,2.1915440559387207,0.403
747,2.22721529006958,0.403
748,2.1964030265808105,0.405
749,2.198241710662842,0.409
750,2.2048799991607666,0.406
751,2.211256265640259,0.41
752,2.2292706966400146,0.414
753,2.1968038082122803,0.407
754,2.1765828132629395,0.407
755,2.203950881958008,0.412
756,2.2061283588409424,0.415
757,2.1883764266967773,0.407
758,2.1953694820404053,0.4
759,2.212202548980713,0.395
760,2.1915574073791504,0.389
761,2.2073891162872314,0.386
762,2.182082176208496,0.383
763,2.210951089859009,0.378
764,2.1878952980041504,0.38
765,2.2098872661590576,0.392
766,2.2097246646881104,0.395
767,2.1617894172668457,0.393
768,2.2076618671417236,0.395
769,2.21970272064209,0.398
770,2.2084310054779053,0.4
771,2.205136775970459,0.403
772,2.2004146575927734,0.403
773,2.1928939819335938,0.408
774,2.185713291168213,0.416
775,2.199319362640381,0.42
776,2.2253475189208984,0.425
777,2.2045109272003174,0.433
778,2.17106556892395,0.436
779,2.1816158294677734,0.433
780,2.228393077850342,0.435
781,2.1985511779785156,0.438
782,2.210865020751953,0.437
783,2.1554830074310303,0.428
784,2.1644067764282227,0.421
785,2.184654474258423,0.421
786,2.187380790710449,0.42
787,2.1819701194763184,0.421
788,2.164879322052002,0.414
789,2.1826586723327637,0.409
790,2.1842563152313232,0.399
791,2.1720974445343018,0.396
792,2.1778922080993652,0.387
793,2.1883857250213623,0.378
794,2.214359760284424,0.368
795,2.1988322734832764,0.356
796,2.226658582687378,0.347
797,2.1931779384613037,0.323
798,2.2011446952819824,0.318
799,2.17685604095459,0.303
800,2.1783130168914795,0.297
801,2.2267181873321533,0.291
802,2.219597339630127,0.284
803,2.2050905227661133,0.282
804,2.1750197410583496,0.282
805,2.1915457248687744,0.281
806,2.198265552520752,0.277
807,2.1654865741729736,0.276
808,2.2002615928649902,0.276
809,2.183307647705078,0.274
810,2.162976026535034,0.277
811,2.1757936477661133,0.277
812,2.1827898025512695,0.279
813,2.2178955078125,0.282
814,2.1752684116363525,0.282
815,2.1798384189605713,0.282
816,2.190737724304199,0.282
817,2.223297119140625,0.284
818,2.166256904602051,0.287
819,2.1935722827911377,0.293
820,2.1960887908935547,0.301
821,2.215024709701538,0.308
822,2.121366500854492,0.322
823,2.163076162338257,0.332
824,2.174715042114258,0.337
825,2.166752815246582,0.344
826,2.170220375061035,0.349
827,2.18280291557312,0.357
828,2.1712422370910645,0.361
829,2.161055326461792,0.368
830,2.18798828125,0.374
831,2.200246572494507,0.371
832,2.186213731765747,0.368
833,2.1597237586975098,0.373
834,2.16652512550354,0.376
835,2.183320999145508,0.378
836,2.1972708702087402,0.38
837,2.1931138038635254,0.399
838,2.1871652603149414,0.408
839,2.138184070587158,0.411
840,2.2136335372924805,0.413
841,2.1692962646484375,0.41
842,2.1531598567962646,0.406
843,2.149963855743408,0.405
844,2.171842098236084,0.406
845,2.1746273040771484,0.415
846,2.1689131259918213,0.418
847,2.1747310161590576,0.416
848,2.1836235523223877,0.437
849,2.192152500152588,0.45
850,2.1866745948791504,0.466
851,2.2123587131500244,0.48
852,2.1448416709899902,0.483
853,2.162811040878296,0.486
854,2.127368688583374,0.484
855,2.185181140899658,0.482
856,2.225815773010254,0.478
857,2.170166015625,0.476
858,2.2104718685150146,0.468
859,2.1428592205047607,0.469
860,2.1721889972686768,0.464
861,2.1893343925476074,0.458
862,2.176748514175415,0.454
863,2.1659650802612305,0.447
864,2.1914169788360596,0.446
865,2.1842031478881836,0.442
866,2.133927822113037,0.441
867,2.1426825523376465,0.443
868,2.169884204864502,0.439
869,2.212632179260254,0.435
870,2.167119026184082,0.434
871,2.186884641647339,0.428
872,2.171894073486328,0.424
873,2.2158102989196777,0.425
874,2.193495512008667,0.424
875,2.1511783599853516,0.423
876,2.1844751834869385,0.43
877,2.1377077102661133,0.427
878,2.159144163131714,0.418
879,2.2020175457000732,0.417
880,2.1517364978790283,0.407
881,2.1620030403137207,0.407
882,2.121574640274048,0.41
883,2.162865161895752,0.406
884,2.136106491088867,0.404
885,2.1879982948303223,0.404
886,2.165600538253784,0.41
887,2.1552257537841797,0.409
888,2.1749584674835205,0.405
889,2.147451400756836,0.405
890,2.188532829284668,0.407
891,2.177361249923706,0.405
892,2.1832151412963867,0.401
893,2.194505214691162,0.409
894,2.190187454223633,0.406
895,2.197786569595337,0.41
896,2.215460777282715,0.416
897,2.1359832286834717,0.431
898,2.1362578868865967,0.427
899,2.1248104572296143,0.432
900,2.1766583919525146,0.429
901,2.1336100101470947,0.426
902,2.1739895343780518,0.426
903,2.1658122539520264,0.426
904,2.166574001312256,0.427
905,2.141799211502075,0.434
906,2.1426315307617188,0.43
907,2.158198595046997,0.426
908,2.1857216358184814,0.428
909,2.2167913913726807,0.428
910,2.150130033493042,0.433
911,2.1776251792907715,0.433
912,2.1321704387664795,0.439
913,2.175985336303711,0.44
914,2.1298980712890625,0.448
915,2.128248929977417,0.456
916,2.1526269912719727,0.458
917,2.171316623687744,0.459
918,2.1395249366760254,0.455
919,2.1224093437194824,0.451
920,2.1900036334991455,0.452
921,2.187072277069092,0.447
922,2.2060389518737793,0.448
923,2.150723457336426,0.447
924,2.1445467472076416,0.45
925,2.1497151851654053,0.454
926,2.11281156539917,0.454
927,2.153416156768799,0.454
928,2.164304494857788,0.454
929,2.1578335762023926,0.458
930,2.130021333694458,0.464
931,2.1204144954681396,0.475
932,2.1379613876342773,0.475
933,2.1406023502349854,0.475
934,2.167445421218872,0.478
935,2.1311333179473877,0.48
936,2.139493703842163,0.481
937,2.151759624481201,0.479
938,2.1590993404388428,0.481
939,2.1602697372436523,0.486
940,2.0736465454101562,0.488
941,2.1823694705963135,0.488
942,2.0761404037475586,0.483
943,2.1663646697998047,0.483
944,2.1754071712493896,0.481
945,2.1273577213287354,0.474
946,2.1510658264160156,0.476
947,2.194422483444214,0.47
948,2.128993272781372,0.466
949,2.120699644088745,0.467
950,2.0820915699005127,0.469
951,2.192565441131592,0.471
952,2.1179842948913574,0.479
953,2.1635749340057373,0.478
954,2.1245877742767334,0.474
