epoch,loss,test_loss(cost),wight,n_grad
0, 1897.149415247954, 1980.6083667210169, [ 0.17351631  0.40744459 -0.51870224], [ 7.03710992 67.95942632  7.64382884]
1, 1835.8818275289136, 1921.310326609985, [ 0.060011    1.15462826 -0.43915665], [-11.35053166  74.71836646   7.95455897]
2, 3627.1205365420865, 1821.7036949087644, [ 0.0136822   2.44103796 -0.34242271], [ -4.63287958 128.64097039   9.67339442]
3, 2803.6855305463027, 1745.4867479664763, [-0.75007531  3.48962459 -0.02731988], [-76.37575107 104.85866293  31.51028339]
4, 1490.0859153740416, 1697.6303758675076, [-1.02162645  4.13621004 -0.0475344 ], [-27.1551144   64.65854521  -2.02145209]
5, 1320.6447772745848, 1660.3562221658794, [-1.03064442  4.64321978 -0.08339223], [-0.90179698 50.70097328 -3.58578372]
6, 1864.4761064480786, 1606.0541325091122, [-0.79946691  5.39749488 -0.09989197], [23.11775136 75.42750979 -1.64997325]
7, 1301.0684342127947, 1569.16747702935, [-0.67660855  5.8765855  -0.41396564], [ 12.28583569  47.90906264 -31.40736781]
8, 1699.1252271317608, 1515.912457017488, [-0.4931079   6.59316654 -0.82753085], [ 18.35006529  71.65810408 -41.35652068]
9, 2012.7164985432005, 1463.8690278353458, [-0.5212424   7.40665075 -0.53528476], [-2.81345031 81.34842098 29.22460936]
10, 1022.5570390780701, 1425.9589727707703, [-0.433448    7.93602008 -0.88144297], [  8.77943973  52.93693297 -34.61582103]
11, 2081.304822703308, 1360.981119192031, [-0.92716585  8.88588898 -1.48340591], [-49.37178502  94.98688952 -60.19629416]
12, 942.4505422345026, 1322.4296268123248, [-0.76387746  9.52467869 -1.26281015], [16.32883928 63.87897084 22.05957612]
13, 888.6201698537507, 1304.1226718032406, [-1.06926375  9.87634264 -0.88531134], [-30.53862902  35.16639528  37.7498812 ]
14, 824.6618534503881, 1286.5157412922285, [-0.73707111 10.14220286 -1.00455173], [ 33.21926406  26.58602176 -11.92403946]
15, 816.6931081629695, 1273.662955848251, [-0.82504153 10.35723682 -1.00509626], [-8.7970418  21.50339593 -0.05445291]
16, 1053.0885105404022, 1245.5450102676973, [-0.78884252 10.82366403 -1.04140867], [ 3.6199005  46.64272136 -3.63124056]
17, 877.8557977828028, 1222.906200212637, [-0.66450042 11.19117237 -1.16744018], [ 12.4342105   36.750834   -12.60315147]
18, 1074.8275086687097, 1183.5633677212081, [-0.24588182 11.83864317 -1.41678822], [ 41.86185993  64.74708044 -24.93480431]
19, 1133.0038639062593, 1152.1255023596186, [-0.22691263 12.3759706  -1.60646589], [  1.89691928  53.73274224 -18.96776673]
20, 881.2952978507899, 1134.498687450254, [-0.49763825 12.70910005 -1.50246878], [-27.07256195  33.31294518  10.39971138]
21, 2152.3045189847307, 1066.826961025082, [-0.39098453 13.9791909  -1.37259487], [ 10.66537143 127.00908549  12.98739076]
22, 502.63877983875625, 1059.6356186765818, [-0.33266209 14.14426526 -1.12170842], [ 5.83224405 16.50743587 25.08864488]
23, 1214.5374525569391, 1035.8145286670863, [ 0.02979279 14.61743347 -0.9816243 ], [36.24548867 47.31682049 14.00841226]
24, 982.1935306967501, 1013.6204340988616, [-0.05490144 15.07917429 -0.79177224], [-8.46942344 46.17408226 18.98520632]
25, 1269.3108019966955, 972.3148685272994, [ 0.12042955 15.85095973 -1.2885113 ], [ 17.53309917  77.17854413 -49.67390642]
26, 1227.257816780607, 942.7374783979008, [ 0.20922351 16.48092873 -1.16467837], [ 8.87939563 62.99689976 12.38329266]
27, 453.3544743570246, 936.7578284382435, [ 0.22052344 16.63240593 -0.96096352], [ 1.12999337 15.14772069 20.37148503]
28, 1226.817962839866, 914.4294166103891, [ 5.19459763e-03  1.71034267e+01 -1.03950943e+00], [-21.53288442  47.10208103  -7.85459076]
29, 1171.8171728140921, 884.7409125996911, [-0.1212038  17.75341299 -1.09000348], [-12.63983955  64.99862431  -5.04940456]
30, 1180.4312183132408, 853.1188924818443, [-1.06761428e-03  1.84750470e+01 -1.05174194e+00], [12.01361836 72.16340273  3.82615403]
31, 1044.0456211240594, 825.936008206472, [-0.43917071 19.12793875 -1.04468759], [-43.81030966  65.28917301   0.70543439]
32, 567.5309069356068, 811.1790453642835, [-0.51528918 19.4919455  -1.0074157 ], [-7.61184689 36.4006755   3.72718888]
