epoch,loss,test_loss(cost),wight,n_grad
0, 332.9838360075971, 403.45424447911137, [ 0.34794001 40.44727277 -1.06426978], [-2.18039824  4.32559653 10.58228113]
1, 442.05017945107545, 403.4114829936935, [ 0.33794828 40.44716973 -1.06100847], [-9.99173119 -0.10304641  3.26131327]
2, 345.0189887720247, 403.47390977398425, [ 0.34035748 40.46319293 -1.05326665], [ 2.40919971 16.02320621  7.74182181]
3, 408.146229021246, 403.5076184812015, [ 0.34354722 40.46903195 -1.05148658], [3.18973342 5.83901354 1.78006946]
4, 312.01280437783646, 403.515407118957, [ 0.3450429  40.46780169 -1.05412132], [ 1.49568305 -1.23025973 -2.63474038]
5, 345.0614384141617, 403.4951967487592, [ 0.34398344 40.46487316 -1.05368703], [-1.05945695 -2.92852571  0.43428342]
6, 411.10476273218524, 403.4784760338015, [ 0.33856049 40.46681831 -1.0508063 ], [-5.42295038  1.94514338  2.88073831]
7, 425.17442809509043, 403.42974458412954, [ 0.33468662 40.45988085 -1.05062576], [-3.87386833 -6.93745684  0.18053632]
8, 418.869527425786, 403.40829599380396, [ 0.33444284 40.45770495 -1.04811148], [-0.2437815  -2.17589896  2.51428216]
9, 306.6152741746918, 403.44080838186926, [ 0.3400984  40.46218931 -1.04595725], [5.65555615 4.48435938 2.15422315]
10, 297.22994699909293, 403.39740909628506, [ 0.3364911  40.46324589 -1.03559659], [-3.60729403  1.05658326 10.36066805]
11, 309.5064567424199, 403.30276801002947, [ 0.32644637 40.45820656 -1.02514369], [-10.04473339  -5.03933124  10.45289417]
12, 336.6595714296476, 403.31255155521205, [ 0.31723829 40.46281301 -1.02865254], [-9.20808189  4.60645361 -3.50884977]
13, 449.4610963226408, 403.3274405923119, [ 0.32509266 40.45783221 -1.03352505], [ 7.85436752 -4.98080679 -4.87250941]
14, 400.63454802696106, 403.29916204984386, [ 0.32084963 40.45076319 -1.03933664], [-4.24302788 -7.06901739 -5.81159058]
15, 339.21593395413197, 403.32462205952777, [ 0.32685996 40.45230665 -1.03921779], [6.0103296  1.5434634  0.11885079]
