epoch,loss,test_loss(cost),wight,n_grad
0, 1747.138837195783, 2190.758175523493, [ 1.26833353 -2.51367679  0.32809115], [-2.14941806 61.88210069 -3.05513872]
1, 4533.371245714019, 2046.8283898906864, [ 1.16732706 -0.83105416 -0.41350434], [-10.10064754 168.26226259 -74.15954939]
2, 1170.59173363394, 2011.3597994134961, [ 1.42854648 -0.35537113 -0.62712994], [ 26.12194254  47.56830278 -21.36255987]
3, 1338.8397053011024, 1957.565398382655, [ 1.45102647  0.32109153 -0.83747171], [  2.24799889  67.64626635 -21.03417698]
4, 2116.9240813525194, 1927.830437815141, [ 1.72540152  0.74819271 -0.96334441], [ 27.43750462  42.71011792 -12.58726991]
5, 407.2378233398385, 1913.013357363338, [ 1.80402811  0.96216026 -0.87682427], [ 7.86265935 21.39675454  8.65201452]
6, 975.4013166805007, 1886.3958362705682, [ 1.68505347  1.28549653 -0.93637507], [-11.89746416  32.33362791  -5.95508017]
7, 1500.3974125639108, 1833.798232229254, [ 2.07579378  2.05035218 -1.12606651], [ 39.07403112  76.4855646  -18.96914395]
8, 1880.1452634945945, 1773.293737536299, [ 1.89382691  2.82815323 -1.27178573], [-18.19668745  77.78010539 -14.57192254]
9, 1616.8559072550536, 1718.2204022724532, [ 1.68765961  3.55818412 -1.16158698], [-20.61672991  73.00308837  11.01987547]
10, 501.2855214289195, 1703.5735169380469, [ 1.73180062  3.77952278 -1.04049642], [ 4.4141014  22.13386646 12.10905605]
11, 3901.5425115375597, 1611.6915082633702, [ 2.5739316   5.28757453 -0.84891234], [ 84.21309828 150.8051743   19.15840789]
12, 1180.8155841302844, 1575.681112120162, [ 2.44254652  5.78470983 -0.91786094], [-13.13850831  49.71352999  -6.8948598 ]
13, 1097.7437295538589, 1533.9437222011638, [ 2.36521568  6.39408673 -0.90025497], [-7.73308407 60.93769096  1.76059705]
14, 1455.886788221374, 1496.7307607560363, [ 2.47303487  6.99687576 -0.72741154], [10.78191883 60.27890203 17.28434291]
15, 844.3301699005127, 1467.1658430716495, [ 2.46827346  7.44471654 -0.86583349], [ -0.47614092  44.78407854 -13.8421949 ]
16, 1214.2044810917512, 1435.3966557289846, [ 2.06898992  7.86032175 -0.76684748], [-39.92835348  41.56052051   9.89860016]
17, 1143.5966568791207, 1410.0055085106612, [ 2.08724204  8.27894647 -0.60056194], [ 1.82521185 41.86247246 16.628554  ]
18, 1183.3914323762756, 1368.6146284088788, [ 1.75248127  8.89281986 -0.36537602], [-33.47607695  61.38733938  23.51859264]
19, 1025.6058252382684, 1346.6155346451178, [ 1.8663625   9.29692183 -0.12199016], [11.38812234 40.41019675 24.3385854 ]
20, 835.4556546053666, 1319.1063432788924, [ 1.88464822  9.74468021 -0.29041022], [  1.82857259  44.77583754 -16.84200581]
21, 758.6797231369962, 1300.9923019335681, [ 1.86199547 10.06105228 -0.08456107], [-2.26527501 31.63720714 20.58491488]
22, 762.007711106678, 1283.5945080187691, [ 1.72429736 10.35624329  0.24450121], [-13.76981085  29.51910117  32.90622811]
23, 1143.2960099352736, 1257.8140882894038, [ 1.75749766 10.80884361  0.27033457], [ 3.32002981 45.26003182  2.58333596]
24, 623.9349036021812, 1238.507993974279, [ 1.924455   11.21380085  0.58973748], [16.69573351 40.49572438 31.9402908 ]
25, 1702.3341496516703, 1194.7313468554678, [ 1.60499606 11.9204328   0.58684477], [-31.94589354  70.66319458  -0.28927033]
26, 1094.8146637911984, 1176.5265430079007, [ 1.64258701 12.23637321  0.38059088], [  3.75909448  31.59404145 -20.62538975]
27, 1357.8692496229241, 1143.7302688501347, [ 2.06507213 12.92846575  0.31770767], [42.24851228 69.20925417 -6.28832094]
28, 1206.6297730437363, 1118.2660766345764, [ 1.94254459 13.39723734  0.51708939], [-12.25275407  46.87715825  19.93817237]
29, 1539.263288730111, 1085.5147019646731, [ 1.77760415 13.96955133  0.35948816], [-16.49404391  57.23139917 -15.76012276]
30, 502.36790441073424, 1076.751427583192, [ 1.78176621 14.14209262  0.37593862], [ 0.41620595 17.25412923  1.64504561]
31, 261.56840515339593, 1070.6678970777668, [ 1.8948303  14.28280778  0.33345997], [11.30640865 14.07151589 -4.24786471]
32, 659.3431126066765, 1056.3426547621943, [ 2.10928011 14.63867099  0.55617323], [21.44498131 35.58632143 22.27132555]
