epoch,loss,test_loss(cost),wight,n_grad
0, 471.0423533786232, 401.90782041177687, [ 0.11312576 40.62062379 -0.46936732], [-3.22880397  2.87700005  3.1815996 ]
1, 553.2765080454757, 401.29079243849804, [ 0.07402828 40.53418797 -0.45016574], [-3.9097478  -8.64358191  1.92015778]
2, 326.90001838842363, 400.6835105651356, [ 1.96994030e-02  4.04303162e+01 -4.78693495e-01], [ -5.43288772 -10.38717764  -2.85277556]
3, 324.00507236488016, 400.70356509520883, [ 3.79471717e-02  4.04744149e+01 -3.72499289e-01], [ 1.82477687  4.40987299 10.61942063]
4, 362.27409079739596, 400.54184150507336, [ 1.14775376e-02  4.04678860e+01 -3.41927643e-01], [-2.64696341 -0.65289411  3.05716453]
5, 480.08800285470056, 400.29511971730483, [-0.08075652 40.52062667 -0.17472791], [-9.22340552  5.2740686  16.71997294]
6, 255.4516802170578, 400.2154458517162, [-2.23756154e-02  4.04770147e+01 -1.94984545e-01], [ 5.83809021 -4.36119769 -2.02566305]
7, 332.40699882121555, 400.5659286123679, [ 3.26379126e-02  4.04811413e+01 -2.99222063e-01], [  5.5013528    0.41265951 -10.42375187]
8, 459.40565948644485, 401.1116606156495, [ 0.05363823 40.54860346 -0.36030337], [ 2.10003223  6.7462167  -6.10813079]
9, 357.58546582754695, 400.6968412712138, [ 0.05308373 40.45932557 -0.38960079], [-0.05545035 -8.92778852 -2.92974158]
10, 314.78299176464424, 400.72265737657864, [ 0.04637918 40.43985538 -0.44999435], [-0.67045516 -1.94701943 -6.03935608]
11, 399.1004665130879, 400.30307407075384, [ 0.07416711 40.38756067 -0.36022209], [ 2.7787934  -5.22947021  8.9772257 ]
12, 449.337589975847, 400.1395799863977, [ 0.12479868 40.35398772 -0.3101981 ], [ 5.06315651 -3.35729543  5.00239908]
13, 365.63623045963664, 401.0819303293748, [ 0.15823787 40.46803179 -0.42709226], [  3.34391902  11.4044073  -11.68941597]
14, 537.7570740915371, 400.49166582211086, [ 0.15698807 40.35352978 -0.42985034], [ -0.12497944 -11.4502017   -0.27580767]
15, 192.05935382534955, 400.481257718579, [ 0.19376323 40.31501363 -0.46629415], [ 3.67751513 -3.85161412 -3.64438163]
16, 443.6422120051177, 401.0815688253406, [ 0.17311298 40.45645472 -0.43679736], [-2.06502433 14.1441084   2.94967956]
17, 306.4006219319844, 401.3220495618244, [ 0.26032345 40.49610724 -0.3533397 ], [8.72104671 3.96525233 8.3457653 ]
