epoch,loss,test_loss(cost),wight,n_grad
0, 3029.9434038236946, 1823.4668079856638, [ 1.02056759  1.99923362 -0.23709668], [ 53.74343301 131.76918963 -17.79398217]
1, 2871.2721587148503, 1739.717351488895, [ 1.25793688  3.19328342 -0.05844082], [ 23.73692939 119.40497983  17.8655855 ]
2, 593.3489680029793, 1719.7518175247387, [ 1.36806662  3.48611053 -0.17257558], [ 11.01297367  29.2827117  -11.41347527]
3, 1145.0340759458552, 1686.4764101637147, [ 1.309301    3.92242621 -0.6736673 ], [ -5.87656162  43.63156792 -50.10917249]
4, 2077.261487963393, 1637.8139489910393, [ 1.3141742   4.61851416 -0.66755433], [ 0.48731983 69.60879503  0.61129736]
5, 520.1401112609387, 1614.7566738844293, [ 1.28444279  4.94699034 -0.66961669], [-2.97314055 32.84761787 -0.20623642]
6, 295.6242751161032, 1606.861355095819, [ 1.30786176  5.06187858 -0.82965643], [  2.34189719  11.48882393 -16.00397329]
7, 1862.5257839613055, 1566.877414184322, [ 1.66978318  5.72049288 -0.87146521], [36.19214114 65.86142931 -4.18087854]
8, 1029.7980181508356, 1536.7939972634247, [ 1.68057309  6.17015823 -0.99564924], [  1.07899135  44.96653583 -12.41840314]
9, 1550.32288515161, 1504.679144690828, [ 1.63502715  6.65320214 -0.80870863], [-4.5545939  48.30439084 18.6940616 ]
10, 1091.3817574041395, 1472.9717035239498, [ 1.85277218  7.19440744 -0.53371983], [21.77450342 54.12052968 27.49887977]
11, 905.6383683852558, 1454.0378818614738, [ 1.92202321  7.51070837 -0.35718038], [ 6.92510262 31.63009348 17.65394472]
12, 1025.1673824899308, 1424.240669930708, [ 1.84104872  7.97530749 -0.10042145], [-8.0974487  46.45991126 25.6758932 ]
13, 2580.3875547063117, 1339.5918768576748, [ 1.58788239  9.2763469  -0.69867321], [-25.31663296 130.10394132 -59.82517585]
14, 543.9691348555717, 1324.532299199719, [ 1.57588443  9.52646077 -0.65380377], [-1.19979625 25.01138741  4.48694369]
15, 1294.0691379772593, 1297.69513144113, [ 1.44356406  9.95730671 -0.51383298], [-13.2320372   43.08459324  13.99707952]
16, 800.2623831351149, 1287.8193791891501, [ 1.54913508 10.14972773 -0.4267351 ], [10.55710216 19.24210268  8.70978753]
17, 1443.6173810204696, 1249.833159632454, [ 1.47627242 10.78329283 -0.7321363 ], [ -7.28626609  63.35651013 -30.54012032]
18, 1833.7541953048535, 1192.6051674072085, [ 1.40989898 11.7847833  -1.01365065], [ -6.63734387 100.14904631 -28.15143453]
19, 1056.9936023315854, 1170.5299942361328, [ 1.72488625 12.25422304 -0.8865381 ], [31.49872679 46.94397421 12.71125509]
20, 2034.8718647822589, 1126.3222410310455, [ 2.20048162 13.18889543 -0.68984303], [47.55953668 93.46723898 19.66950668]
21, 974.841887357286, 1099.5753109336847, [ 2.16680671 13.69964005 -0.49491764], [-3.36749086 51.07446196 19.4925389 ]
22, 761.753405223122, 1081.874068875598, [ 2.37321961 14.08848423 -0.65753045], [ 20.64129065  38.88441773 -16.26128053]
23, 1448.2389749204244, 1056.7623689209113, [ 2.21323594 14.54335314 -1.07643238], [-15.99836773  45.48689114 -41.89019338]
24, 1100.2525534520626, 1027.9765866869802, [ 1.82632477 15.04034272 -1.05885955], [-38.69111632  49.69895792   1.75728329]
25, 1544.131906658155, 986.5490453568117, [ 1.89788363 15.92089033 -1.00979039], [ 7.15588563 88.05476152  4.90691635]
26, 777.8479387981258, 977.2764524325295, [ 1.84669256 16.10782321 -0.93591338], [-5.11910734 18.69328813  7.38770034]
27, 1056.7110610520633, 947.7055011585537, [ 1.83282702 16.7467931  -0.99656904], [-1.3865539  63.89698844 -6.06556595]
28, 416.08389199247677, 941.5534486223441, [ 1.95347059 16.90974647 -1.09680733], [ 12.06435705  16.29533705 -10.02382893]
29, 1026.70747760722, 917.5403520489634, [ 1.69071611 17.39338765 -1.39819048], [-26.27544804  48.3641186  -30.13831495]
30, 393.8494962449904, 906.99331160049, [ 1.75671676 17.64622693 -1.22805875], [ 6.60006484 25.28392752 17.01317322]
31, 1514.0694222810507, 861.1485460034238, [ 1.66792504 18.70365298 -1.03170786], [ -8.87917182 105.74260538  19.63508852]
