epoch,loss,test_loss(cost),wight,n_grad
0, 347.8126654819797, 402.38750341586245, [-2.44200843e-02  4.05034455e+01 -9.56125787e-01], [-1.16009095  0.10838834  1.23463544]
1, 352.49702401769065, 402.1721136719374, [-1.76757651e-02  4.04996371e+01 -8.93865056e-01], [ 0.67443191 -0.3808464   6.22607305]
2, 356.2968931999066, 402.5730285905161, [ 1.28979542e-03  4.05560354e+01 -9.09712621e-01], [ 1.89655606  5.63983783 -1.58475647]
3, 335.78012409121663, 402.7181214286173, [-3.62871763e-03  4.05838913e+01 -9.10592648e-01], [-0.49185131  2.78558774 -0.08800273]
4, 469.1631211679845, 402.7252233807134, [ 4.02113168e-02  4.05442939e+01 -9.47035051e-01], [ 4.38400344 -3.95974167 -3.64424032]
5, 320.5700461744071, 403.0108966506985, [ 1.49224847e-02  4.05567463e+01 -1.02602004e+00], [-2.52888321  1.24524443 -7.89849898]
6, 400.4627754479552, 403.2024840596049, [-1.13877633e-02  4.05641238e+01 -1.08422658e+00], [-2.6310248   0.73774612 -5.82065422]
7, 438.55486274262233, 403.36876262101725, [-3.66219435e-02  4.06021351e+01 -1.08776326e+00], [-2.52341802  3.80112678 -0.35366796]
8, 390.4578242533712, 403.31901659058553, [-3.76304838e-02  4.05883223e+01 -1.09564244e+00], [-0.10085403 -1.38127469 -0.78791789]
9, 378.03003612716947, 403.4059630119789, [ 1.24010764e-02  4.06056511e+01 -1.06225514e+00], [5.00315602 1.73288073 3.33872989]
10, 305.49546318982806, 403.31255986452874, [-2.07226742e-02  4.06658192e+01 -9.61557311e-01], [-3.31237506  6.0168044  10.06978316]
11, 473.8054286998042, 403.2959100681434, [-2.37840541e-02  4.06965692e+01 -9.06608591e-01], [-0.30613799  3.07500306  5.49487204]
12, 462.11462580107184, 403.13818505861497, [ 3.81609816e-02  4.06681650e+01 -8.65573015e-01], [ 6.19450357 -2.84042394  4.10355763]
13, 399.2924206368207, 403.2505536801699, [ 2.93735188e-02  4.06840523e+01 -8.78386570e-01], [-0.87874628  1.5887304  -1.28135552]
14, 372.59699672117296, 403.37730897726993, [ 0.05363252 40.69348308 -0.88326794], [ 2.42590053  0.94308011 -0.48813684]
15, 365.08081049095296, 403.6551299790603, [ 0.05038911 40.74631738 -0.87688065], [-0.32434103  5.28343042  0.6387286 ]
16, 378.9226443306015, 403.1734289456196, [ 6.01678961e-03  4.07191958e+01 -8.07765100e-01], [-4.43723242 -2.71216131  6.91155517]
17, 562.9593708563717, 402.76418520752014, [ 0.06401305 40.65565844 -0.75017059], [ 5.79962623 -6.35373306  5.75945106]
18, 338.52338091143395, 402.53084901461625, [ 0.08552703 40.5858783  -0.78479366], [ 2.15139809 -6.97801346 -3.46230659]
19, 427.0092094222772, 402.40906004006234, [ 0.05704135 40.60935211 -0.72421552], [-2.8485684   2.347381    6.05781314]
20, 399.79001289214204, 402.7196350145654, [ 0.10656929 40.61512329 -0.77676212], [ 4.95279444  0.57711783 -5.25465931]
21, 333.5574987775466, 403.1423184787698, [ 0.15761099 40.64247964 -0.82160733], [ 5.10417006  2.73563436 -4.48452111]
22, 361.78108749437274, 403.15340232596697, [ 0.15384    40.66426815 -0.78918883], [-0.37709971  2.17885159  3.24184982]
23, 346.5386264507481, 403.34948905782534, [ 0.18200217 40.68622928 -0.78865742], [2.81621721 2.19611274 0.05314129]
24, 398.060649006586, 403.0254603977737, [ 0.20131283 40.61763472 -0.79288299], [ 1.93106624 -6.85945557 -0.42255683]
25, 391.6631516995374, 403.1736141229778, [ 0.23038933 40.59947588 -0.84623756], [ 2.90765016 -1.81588399 -5.3354578 ]
26, 310.92485628560587, 402.7038852598986, [ 0.23830705 40.54830394 -0.78062401], [ 0.79177168 -5.11719478  6.56135534]
27, 423.95578754633925, 402.4570520496641, [ 0.21946894 40.52238667 -0.76285683], [-1.8838108  -2.5917266   1.77671771]
28, 415.24921522035095, 403.2548781612539, [ 0.26877135 40.61018068 -0.82034626], [ 4.93024121  8.7794013  -5.74894304]
29, 479.80080190058385, 403.6159922523865, [ 0.28047076 40.66953236 -0.81863811], [1.1699409  5.93516726 0.1708152 ]
30, 354.43809434962185, 404.0110629621351, [ 0.30909264 40.71842483 -0.8290166 ], [ 2.86218751  4.88924738 -1.03784912]
31, 444.8472478537241, 403.9543837339817, [ 0.28442361 40.76055011 -0.75573323], [-2.46690235  4.21252798  7.3283377 ]
32, 450.1741194872735, 403.9232868925361, [ 0.28589461 40.71293184 -0.83208429], [ 0.14709946 -4.76182742 -7.63510637]
33, 333.681185121298, 403.8551948566048, [ 0.28344137 40.70805571 -0.82186413], [-0.24532401 -0.4876123   1.02201557]
34, 408.6281494949542, 403.4361834027326, [ 0.25309526 40.63728294 -0.84294302], [-3.03461106 -7.07727718 -2.10788835]
35, 362.1610873161591, 402.8482903579029, [ 0.22810257 40.56560445 -0.80518424], [-2.49926891 -7.16784918  3.77587767]
36, 393.6381317737999, 402.63906845091935, [ 0.23350825 40.51442638 -0.82199974], [ 0.54056828 -5.11780739 -1.68154971]
37, 444.76292609176335, 402.36157009454115, [ 0.22730199 40.480175   -0.79770354], [-0.62062659 -3.42513787  2.42961951]
38, 464.4486911701277, 402.379535973148, [ 0.24244321 40.45599089 -0.83024716], [ 1.51412247 -2.41841055 -3.25436171]
39, 358.2850748428157, 402.2746511973491, [ 0.15083499 40.47637362 -0.83980216], [-9.16082183  2.038273   -0.95549978]
40, 387.9792311360811, 401.89512961705293, [ 0.11191114 40.41854041 -0.84668739], [-3.89238537 -5.78332099 -0.68852332]
41, 465.38490742795, 401.7849862849147, [ 3.20870054e-02  4.04581781e+01 -8.07330039e-01], [-7.98241331  3.96376706  3.93573517]
42, 353.0239341436494, 402.08941891871194, [ 0.10350584 40.49093354 -0.79467667], [7.14188342 3.27554578 1.26533675]
43, 362.1629331152956, 402.179924277187, [ 0.11700079 40.5055405  -0.78797424], [1.34949467 1.46069571 0.67024269]
44, 390.357952898435, 401.9408065053112, [ 0.18330616 40.4497787  -0.75185935], [ 6.63053712 -5.57617976  3.61148958]
45, 479.7434689735553, 402.24179971264005, [ 0.14096631 40.52037741 -0.76287132], [-4.23398492  7.05987142 -1.10119753]
46, 418.97029746373556, 402.5179187676887, [ 0.13588386 40.55772248 -0.79053497], [-0.50824498  3.73450638 -2.76636452]
47, 309.6564497785888, 402.42446381214376, [ 0.07796251 40.55139447 -0.81703375], [-5.79213474 -0.63280101 -2.64987774]
48, 435.75973536556774, 402.75004410541493, [ 0.04242064 40.60019029 -0.8608468 ], [-3.55418739  4.87958212 -4.38130549]
49, 396.26023109796, 402.85820674603286, [ 0.10691463 40.59749438 -0.85108453], [ 6.44939948 -0.26959048  0.97622675]
50, 379.8530562610374, 403.00937172973136, [ 0.13854021 40.60215317 -0.86522866], [ 3.16255803  0.46587844 -1.41441283]
51, 321.74952753367444, 403.0222342471828, [ 0.15337558 40.61327468 -0.83857618], [1.48353643 1.11215133 2.66524867]
52, 372.6246345728758, 402.5930519604055, [ 0.09216436 40.61600116 -0.74530114], [-6.12112134  0.27264811  9.32750362]
53, 309.2034401007753, 402.71412800342864, [ 0.12255306 40.60798699 -0.77512229], [ 3.0388696  -0.80141755 -2.98211542]
54, 371.68856844493513, 402.6794580270514, [ 0.0440867  40.61654011 -0.80911602], [-7.8466357   0.85531276 -3.39937269]
55, 438.12463376578205, 402.6093106518298, [ 0.11365108 40.588645   -0.78305291], [ 6.95643806 -2.78951123  2.6063109 ]
56, 342.02520888095717, 402.3298851789155, [ 0.11517369 40.54641999 -0.76651669], [ 0.15226088 -4.22250118  1.65362208]
